url,toc_title,title,display_title,description,summary,updated_at,ms_topic,sub_skill_type,confidence,has_expert_knowledge,classification_reason,change_type
https://learn.microsoft.com/en-us/azure/oracle/oracle-azure-overview,Overview,Oracle on Azure,,Oracle on Azure offerings,"Customers running Oracle workloads on-premises can accelerate their cloud adoption by migrating their workloads to Azure. You have a choice to either lift and shift your Oracle workloads to Azure virtual machines or to Oracle AI Database@Azure. Additionally, you can also migrate to our Azure Database services like Azure SQL, Azure Database for PostgreSQL based on the requirements of your organization.",2026-04-15T22:11:00.000Z,overview,,0.1,False,"High-level overview of Oracle options on Azure; no concrete limits, configs, error codes, or decision matrices.",unchanged
https://learn.microsoft.com/en-us/azure/oracle/oracle-db/database-overview,Overview,Overview - Oracle AI Database@Azure,,Overview - Oracle AI Database@Azure.,"Oracle AI Database@Azure is an Oracle AI Database service running on Oracle Cloud Infrastructure (OCI), colocated in Microsoft data centers. This ensures that the Oracle AI Database@Azure service has the fastest possible access to Azure resources and applications. Oracle AI Database@Azure allows you to subscribe to the Oracle AI Database Service inside your Azure environment. All infrastructure for your Oracle AI Database Service is located in Azure's physical data centers, giving your critical ",2026-04-15T22:11:00.000Z,overview,,0.1,False,"Service overview describing what Oracle AI Database@Azure is; no indication of numeric limits, configs, or decision criteria.",unchanged
https://learn.microsoft.com/en-us/azure/oracle/oracle-db/faq-oracle-database-azure,FAQs,FAQ for Oracle AI Database@Azure,,Learn answers to frequently asked questions about Oracle AI Database@Azure.,"In this article, get answers to frequently asked questions about Oracle AI Database@Azure.",2026-04-15T22:11:00.000Z,concept-article,,0.3,False,"FAQ format; summary does not indicate presence of specific error codes, limits tables, or configuration parameter references beyond general Q&A.",unchanged
https://learn.microsoft.com/en-us/azure/oracle/oracle-db/manage-oracle-transparent-data-encryption-azure-key-vault,Manage Oracle TDE with Azure Key Vault,Integrate Oracle Exadata Database@Azure with Azure Key Vault,Configure Oracle TDE keys with Azure Key Vault,Follow a comprehensive step-by-step guide for integrating Oracle Exadata Database@Azure with Azure Key Vault.,"In this article, you learn how to store and manage Oracle Transparent Data Encryption (TDE) master encryption keys (MEKs) for Oracle Exadata Database@Azure. You can use all three tiers of the Azure Key Vault service: This integration enables Oracle Database@Azure customers to meet a wide spectrum of security, compliance, and key management needs. These needs range from software-based key storage to single-tenant, FIPS 140-3 Level 3 validated hardware security modules (HSMs).",2025-07-24T17:11:00.000Z,how-to,security,0.85,True,"Step-by-step integration of Oracle TDE with Azure Key Vault will include specific Key Vault tiers, access policies, and security configuration parameters unique to this integration.",unchanged
https://learn.microsoft.com/en-us/azure/oracle/oracle-db/onboard-oracle-database,Onboard Oracle Database@Azure,Onboard Oracle AI Database@Azure,,Learn about purchase and configuration steps to onboard Oracle AI Database@Azure.,"In this article, learn about purchase and configuration (onboarding) steps for Oracle AI Database@Azure. You complete most onboarding tasks only once, when you create your Oracle AI Database@Azure deployment. After you complete the onboarding tasks, you can begin provisioning and using Oracle AI Database resources in your Azure environment.",2026-04-15T22:11:00.000Z,concept-article,,0.4,False,"Onboarding article focused on purchase and initial setup; summary does not indicate detailed configuration tables, limits, or troubleshooting content.",unchanged
https://learn.microsoft.com/en-us/azure/oracle/oracle-db/oracle-database-get-started,Get started,Get started with Oracle AI Database@Azure,,Learn how to get started with using Oracle AI Database@Azure.,"In this article, learn how to purchase and start using Oracle AI Database@Azure. Oracle AI Database@Azure is an Oracle AI Database service that runs on Oracle Cloud Infrastructure (OCI) and is colocated in Azure datacenters at Microsoft. Colocation ensures that the Oracle AI Database@Azure service has the fastest possible access to Azure resources and applications. Oracle AI Database@Azure runs on infrastructure that's managed by the expert Cloud Infrastructure operations team at Oracle. The ope",2026-04-15T22:11:00.000Z,get-started,,0.3,False,"Getting started/purchase/onboarding overview; likely procedural steps but not detailed configuration tables, limits, or troubleshooting mappings.",unchanged
https://learn.microsoft.com/en-us/azure/oracle/oracle-db/oracle-database-known-issues,Known issues,Known issues in Oracle Database@Azure,Resolve common Oracle Database@Azure known issues,Learn about known issues in Oracle Database@Azure.,Learn about known issues in Oracle Database@Azure and how to resolve them.,2024-10-28T22:05:00.000Z,troubleshooting,troubleshooting,0.8,True,"Known-issues article will map specific symptoms and issues to causes and resolutions, often with product-specific behaviors and workarounds.",unchanged
https://learn.microsoft.com/en-us/azure/oracle/oracle-db/oracle-database-network-plan,Network planning,Network planning for Oracle AI Database@Azure,Plan and configure networking for Oracle AI Database@Azure,Learn about network planning for Oracle AI Database@Azure.,"In this article, learn about network topologies and constraints in Oracle AI Database@Azure.
After you purchase an offer through Azure Marketplace and provision the Oracle Exadata infrastructure, the next step is to create your virtual machine cluster to host your instance of Oracle Exadata Database@Azure. The Oracle AI Database clusters are connected to your Azure virtual network via a virtual network interface card (virtual NIC) from your delegated subnet (delegated toOracle.Database/networkAt",2026-04-15T22:11:00.000Z,concept-article,configuration,0.65,True,"Describes network topologies and constraints, including delegated subnet name (Oracle.Database/networkAt...), virtual NIC usage, and likely other product-specific network configuration parameters and constraints.",unchanged
https://learn.microsoft.com/en-us/azure/oracle/oracle-db/oracle-database-regions,Region availability,Region availability for Oracle AI Database@Azure,,Learn about region availability for Oracle AI Database@Azure.,Learn what Azure regions and corresponding Oracle Cloud Infrastructure (OCI) regions support Oracle AI Database@Azure in standard business regions across the globe. The list below mentions the Azure and corresponding OCI regions with the regional availability for Oracle AI Database@Azure:,2026-04-15T22:11:00.000Z,concept-article,,0.4,False,"Region availability list is essentially a location matrix, not a limits/quotas, configuration, or decision-making guide with thresholds.",unchanged
https://learn.microsoft.com/en-us/azure/oracle/oracle-db/oracle-database-support,Support,Support for Oracle AI Database@Azure,,Learn about support for Oracle AI Database@Azure.,"This article outlines the support scope, contact details, and procedures for both Oracle and Microsoft Azure, helping you quickly address any issues.",2026-04-15T22:11:00.000Z,overview,,0.2,False,"Support scope and procedures; no technical configuration parameters, limits, or troubleshooting mappings with error codes.",unchanged
https://learn.microsoft.com/en-us/azure/oracle/oracle-db/oracle-exadata-database-dedicated-infrastructure-logs,Oracle Exadata Database on Dedicated Infrastructure Logs on Azure for Enhanced Observability,Oracle Exadata Database on Dedicated Infrastructure Logs on Azure for Enhanced Observability,Integrate Oracle Exadata logs with Azure Monitor and Sentinel,Learn how to integrate Oracle Exadata Database logs with Azure Monitor and Microsoft Sentinel.,"In this article, you learn how to integrate Oracle Exadata Database
Service@ Azure logs with Azure Monitor and Microsoft Sentinel by sending
them to a Log Analytics workspace. Azure Monitor Logs is a centralized
software as a service (SaaS) platform for collecting, analyzing, and
acting on telemetry data generated by Azure and non-Azure resources like
Oracle Exadata Database Service@Azure. You can collect logs, manage log data and costs, and consume different types of data in oneLog
Analytics wo",2026-04-15T22:11:00.000Z,how-to,integrations,0.7,True,"Explains how to send Oracle Exadata Database Service@Azure logs to Log Analytics, Azure Monitor, and Sentinel; likely includes workspace configuration, data types, and product-specific logging parameters.",unchanged
